GL_Account,GL_Account_Name,CompanyCode,CompanyCodeName,Profit_Center,Profit_Center_Desc,Cost_Center,Cost_Center_Desc,Functional_Area,Func_Area_Desc,Period/Year,Amount,Average,Minimum,Maximum,StdDev,ConfLow,ConfHigh,ID,Item,Reversal,Segment,Cost_Type 
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,1169.63,55134.46,-134109.10,355940.07,120164.81150983716,8944.59751068143,101324.33048931857,408,Listing Fees,0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,281955.56,50228.57,-134109.10,355940.07,115153.67770074398,5964.92133346873,94492.21866653126,408,Listing Fees,0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,62100.78,69539.15,-134109.10,355940.07,128567.74288523987,20119.303177337715,118959.00182266228,408,Listing Fees,0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,18875.45,68966.97,-134109.10,355940.07,123111.52900775662,21644.42177049083,116289.51822950918,408,Listing Fees,0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,5502.12,65389.00,-134109.10,355940.07,119036.94240099336,19632.676724595098,111145.33184740492,408,Listing Fees,0,MW,
420201,Listing Fees,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2021002,0.00,61396.55,-134109.10,355940.07,115744.37984271947,16905.83807310865,105887.25259289135,408,Listing Fees,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,1002001592,Generic Market-MW USA Market,1030,TNSV_3rdparty,2023005,1470223.29,null,null,null,null,null,null,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,1002001592,Generic Market-MW USA Market,1030,TNSV_3rdparty,2023005,191363.05,1470223.29,1470223.29,1470223.29,null,null,null,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,-346993.86,830793.17,191363.05,1470223.29,904290.7478938557,483194.99722440465,1178391.3427755954,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,-414144.87,438197.49,-346993.86,1470223.29,933415.7564425876,79404.02769701462,796990.9589689854,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000237,MW USA Ice Cream Market,0,null,1030,TNSV_3rdparty,2023005,5938.09,225111.90,-414144.87,1470223.29,873192.5287892441,-110532.49969626075,560756.3046962607,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,114916.87,181277.14,-414144.87,1470223.29,762532.8361894806,-111831.04578890029,474385.3257889003,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,193950.57,170217.10,-414144.87,1470223.29,682567.9516254412,-92153.57873825825,432587.7687382583,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,98269.12,173607.59,-414144.87,1470223.29,623161.0081544074,-65927.78840759126,413142.9712655912,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,299274.85,164190.28,-414144.87,1470223.29,577549.5343161545,-57812.61124104675,386193.17624104675,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,67653.72,179199.68,-414144.87,1470223.29,542121.3603381028,-29185.063203112542,387584.4209811125,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,96538.34,168045.08,-414144.87,1470223.29,512332.66162704595,-28889.25194657629,364979.4179465763,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,756161.98,161544.47,-414144.87,1470223.29,486519.39140799036,-25467.563316924323,348556.5033169243,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,42763.65,211095.93,-414144.87,1470223.29,494618.0344552445,20970.87768446491,401220.9806495351,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000237,MW USA Ice Cream Market,0,null,1030,TNSV_3rdparty,2023005,1291.49,198147.29,-414144.87,1470223.29,475856.515729526,15233.936447413638,381060.64816858637,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,46826.75,184086.16,-414144.87,1470223.29,460205.41190198733,7188.898337288178,360983.42880471185,405,Customer Logistic Discounts,0,MW,
